,train_loss,valid_loss
0,1.9514725346565247,1.728791928291321
1,1.6391596615314483,1.6418612957000733
2,1.5721400089263915,1.5911329746246339
3,1.5360245351791382,1.5651901245117188
4,1.513526577234268,1.554801058769226
5,1.4973723411560058,1.542589545249939
6,1.4858658034801484,1.5265125036239624
7,1.475523422241211,1.5337236881256104
8,1.4676843283176422,1.5166999578475953
9,1.4604184718132018,1.5123457431793212
10,1.4526304686069489,1.5061903953552247
11,1.4480947966575624,1.5084513187408448
12,1.4423626136779786,1.4999040126800538
13,1.437858312368393,1.5039398908615111
14,1.4343932211399077,1.4895445108413696
